Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Possibly Extinct,Regionally Extinct,Reintroduced,Introduced,Vagrant,Present origin uncertain
"Lowland Gorilla, Western Gorilla ",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,"Angola: -11.20269 17.87389, Cameroon: 7.36972 12.35472, Central African Republic: 6.61111 20.93944, Congo: -0.22802 15.82766, Equatorial Guinea: 1.65080 10.26789, Gabon: -0.80369 11.60944, Nigeria: 9.08200 8.67528 ",,Democratic Republic of the Congo: -4.03833 21.75866 ,,,,
Antioquia Antpitta ,CR,160032685,Grallaria fenwickorum,AVES,decreasing,Colombia: 4.57087 -74.29733 ,,,,,,
California Condor ,CR,106003821,Gymnogyps californianus,AVES,increasing,,,,Too many markers for Mexico United States: 37.09024 -95.71289  ,,,
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture ",CR,106003374,Gyps bengalensis,AVES,decreasing,"Afghanistan: 33.93911 67.70995, Bhutan: 27.51416 90.43360, Cambodia: 12.56568 104.99096, India: 20.59368 78.96288, Iran: 32.42791 53.68805, Laos: 19.85627 102.49550, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401, Pakistan: 30.37532 69.34512, Thailand: 15.87003 100.99254, Vietnam: 14.05832 108.27720 ",,"Bangladesh: 23.68499 90.35633, China: 35.86166 104.19540, Malaysia: 4.21048 101.97577 ",,,"Brunei Darussalam: 4.53528 114.72767, Russian Federation: 61.52401 105.31876 ",
Slender-billed Vulture ,CR,160030234,Gyps tenuirostris,AVES,decreasing,"Bangladesh: 23.68499 90.35633, Cambodia: 12.56568 104.99096, India: 20.59368 78.96288, Laos: 19.85627 102.49550, Burma: 21.91397 95.95622, Nepal: 28.39486 84.12401 ",Vietnam: 14.05832 108.27720 ,"Malaysia: 4.21048 101.97577, Thailand: 15.87003 100.99254 ",,,,
"Madagascar Fish-eagle, Madagascar Fish Eagle, Madagascar Fish-Eagle ",CR,106003362,Haliaeetus vociferoides,AVES,decreasing,Madagascar: -18.76695 46.86911 ,,,,,Mauritius: -20.34840 57.55215 ,
"Alaotran Gentle Lemur, Alaotra Reed Lemur, Lac Alaotra Bamboo Lemur, Lake Alaotra Gentle Lemur ",CR,9676,Hapalemur alaotrensis,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Forest Little Owl, Forest Owlet, Forest Spotted Owlet ",CR,106002289,Heteroglaux blewitti,AVES,decreasing,India: 20.59368 78.96288 ,,,,,,
Lamotte's Roundleaf Bat ,CR,10141,Hipposideros lamottei,MAMMALIA,decreasing,Guinea: 9.94559 -9.69665 ,,,,,,
"Bengal Bustard, Bengal Florican ",CR,106002782,Houbaropsis bengalensis,AVES,decreasing,"Cambodia: 12.56568 104.99096, India: 20.59368 78.96288, Nepal: 28.39486 84.12401, Vietnam: 14.05832 108.27720 ",Bangladesh: 23.68499 90.35633 ,,,,,
Abe's Salamander ,CR,10613,Hynobius abei,AMPHIBIA,decreasing,Japan: 36.20482 138.25292 ,,,,,,
Colombian Woolly Monkey ,CR,39926,Lagothrix lugens,MAMMALIA,decreasing,Colombia: 4.57087 -74.29733 ,,,,,,
Black-faced Lion Tamarin ,CR,11503,Leontopithecus caissara,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528 ,,,,,,
"Northern Sportive Lemur, Sahafary Sportive Lemur ",CR,11622,Lepilemur septentrionalis,MAMMALIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Giant Ditch Frog, Mountain Chicken ",CR,57125,Leptodactylus fallax,AMPHIBIA,decreasing,"Dominica: 15.41500 -61.37098, Montserrat: 16.74250 -62.18737 ",,"Guadeloupe: 16.26500 -61.55100, Martinique: 14.64153 -61.02417, Saint Kitts and Nevis: 17.35782 -62.78300 ",,,,
"Siberian Crane, Siberian White Crane, Snow Crane ",CR,106002786,Leucogeranus leucogeranus,AVES,decreasing,"Azerbaijan: 40.14310 47.57693, China: 35.86166 104.19540, Iran: 32.42791 53.68805, Kazakhstan: 48.01957 66.92368, Mongolia: 46.86250 103.84666, Russian Federation: 61.52401 105.31876, Russian Federation: 61.52401 105.31876, Uzbekistan: 41.37749 64.58526 ","Afghanistan: 33.93911 67.70995, India: 20.59368 78.96288, Pakistan: 30.37532 69.34512, Russian Federation: 61.52401 105.31876, Turkmenistan: 38.96972 59.55628 ",,,,"Hong Kong: 22.39643 114.10950, Japan: 36.20482 138.25292, Jordan: 30.58516 36.23841, South Korea: 35.90776 127.76692 ",
"Bali Myna, Bali Starling, Rothschild's Mynah, Rothschild's Starling, White Starling ",CR,106006822,Leucopsar rothschildi,AVES,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
Edwards's Pheasant ,CR,100600253,Lophura edwardsi,AVES,decreasing,Vietnam: 14.05832 108.27720 ,,,,,,
,CR,61915,Lyciasalamandra billae,AMPHIBIA,decreasing,Turkey: 38.96375 35.24332 ,,,,,,
"Turquoise Dwarf Gecko, Williams' Dwarf Gecko ",CR,14665363,Lygodactylus williamsi,REPTILIA,decreasing,Tanzania: -6.36903 34.88882 ,,,,,,
"Iberian Lynx, Pardel Lynx, Spanish Lynx ",CR,12520,Lynx pardinus,MAMMALIA,decreasing,Spain: 40.46367 -3.74922 ,,,,,,
"Black Crested Macaque, Celebes Black Macaque, Celebes Crested Macaque, Celebes Macaque, Crested Black Macaque, Gorontalo Macaque, Sulawesi Black Macaque, Sulawesi Macaque ",CR,12556,Macaca nigra,MAMMALIA,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
"Pagai Island Macaque, Pagai Macaque ",CR,39794,Macaca pagensis,MAMMALIA,decreasing,Indonesia: -0.78927 113.92133 ,,,,,,
Golden Mantella ,CR,12776,Mantella aurantiaca,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
Cowan's Mantella ,CR,57441,Mantella cowanii,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
Black-eared Mantella ,CR,57448,Mantella milotympanum,AMPHIBIA,decreasing,Madagascar: -18.76695 46.86911 ,,,,,,
"Little Earth Hutia, San Felipe Hutia ",CR,13218,Mesocapromys sanfelipensis,MAMMALIA,unknown,,Cuba: 21.52176 -77.78117 ,,,,,
,CR,55202,Minyobates steyermarki,AMPHIBIA,decreasing,Venezuela: 6.42375 -66.58973 ,,,,,,
European Mink ,CR,14018,Mustela lutreola,MAMMALIA,decreasing,"France: 46.22764 2.21375, Romania: 45.94316 24.96676, Russian Federation: 61.52401 105.31876, Spain: 40.46367 -3.74922, Ukraine: 48.37943 31.16558 ",,"Austria: 47.51623 14.55007, Belarus: 53.70981 27.95339, Bulgaria: 42.73388 25.48583, Croatia: 45.10000 15.20000, Czech Republic: 49.81749 15.47296, Estonia: 58.59527 25.01361, Finland: 61.92411 25.74815, Austria: 47.51623 14.55007, Belarus: 53.70981 27.95339, Bulgaria: 42.73388 25.48583, Croatia: 45.10000 15.20000, Czech Republic: 49.81749 15.47296, Estonia: 58.59527 25.01361, Finland: 61.92411 25.74815, Too many markers for Georgia Germany: 51.16569 10.45153, Hungary: 47.16249 19.50330, Kazakhstan: 48.01957 66.92368, Latvia: 56.87964 24.60319, Lithuania: 55.16944 23.88127, Moldova: 47.41163 28.36989, Montenegro: 42.70868 19.37439, The Netherlands: 52.13263 5.29127, Poland: 51.91944 19.14514, Serbia: 44.01652 21.00586, Slovakia: 48.66903 19.69902, Switzerland: 46.81819 8.22751  ",,,,
Garrido's Hutia ,CR,14254,Mysateles garridoi,MAMMALIA,unknown,,Cuba: 21.52176 -77.78117 ,,,,,
"Isla De La Juventud Tree Hutia, Southern Hutia ",CR,14257,Mysateles meridionalis,MAMMALIA,decreasing,Cuba: 21.52176 -77.78117 ,,,,,,
