Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native
Wattled Curassow,EN,100600107,Crax globulosa,AVES,decreasing,Bolivia: -16.29015 -63.58865
"Crowned Eagle, Crowned Solitary Eagle",EN,106003496,Harpyhaliaetus coronatus,AVES,decreasing,Bolivia: -16.29015 -63.58865
"Geoffroy'S/peruvian Woolly Monkey, Geoffroy's Woolly Monkey",EN,39925,Lagothrix cana,MAMMALIA,decreasing,Bolivia: -16.29015 -63.58865
"Andean Cat, Andean Mountain Cat, Mountain Cat",EN,15452,Leopardus jacobita,MAMMALIA,decreasing,Bolivia: -16.29015 -63.58865
"Horned Curassow, Southern Helmeted Curassow",EN,100600102,Pauxi unicornis,AVES,decreasing,Bolivia: -16.29015 -63.58865
Dark-winged Trumpeter,EN,106002805,Psophia viridis,AVES,decreasing,Bolivia: -16.29015 -63.58865
"Giant Brazilian Otter, Giant Otter",EN,18711,Pteronura brasiliensis,MAMMALIA,decreasing,Bolivia: -16.29015 -63.58865
"Lesser Blind Mole Rat, Lesser Mole Rat",DD,14328,Spalax leucodon,MAMMALIA,decreasing,Bosnia and Herzegovina: 43.91589 17.67908
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Bosnia and Herzegovina: 43.91589 17.67908
Katambora Orange,DD,63211,Ceriagrion katamborae,INSECTA,unknown,Botswana: -22.32847 24.68487
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Botswana: -22.32847 24.68487
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Botswana: -22.32847 24.68487
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Botswana: -22.32847 24.68487
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Botswana: -22.32847 24.68487
Glaucous Macaw,CR,106001545,Anodorhynchus glaucus,AVES,unknown,Brazil: -14.23500 -51.92528
Northern Muriqui,CR,2994,Brachyteles hypoxanthus,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
blank,CR,136520,Cavia intermedia,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Blonde Capuchin, Marcgrave's Capuchin Monkey",CR,136253,Cebus flavius,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
Ka'Apor Capuchin,CR,40019,Cebus kaapori,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Buff-headed Capuchin, Yellow-breasted Capuchin",CR,4074,Cebus xanthosternos,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Bearded Saki, Black Bearded Saki, Black Saki, Brown-bearded Saki",CR,39956,Chiropotes satanas,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Purple-barred Ground-dove, Purple-winged Ground-dove, Purple-winged Ground Dove, Purple-winged Ground-Dove",CR,106002571,Claravis geoffroyi,AVES,decreasing,Brazil: -14.23500 -51.92528
Tristan Albatross,CR,160030013,Diomedea dabbenena,AVES,decreasing,Brazil: -14.23500 -51.92528
"Pernambuco Pygmy-owl, Pernambuco Pygmy Owl, Pernambuco Pygmy-Owl",CR,160031932,Glaucidium mooreorum,AVES,decreasing,Brazil: -14.23500 -51.92528
Black-faced Lion Tamarin,CR,11503,Leontopithecus caissara,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Gray-breasted Parakeet, Grey-breasted Parakeet",CR,160032204,Pyrrhura griseipectus,AVES,decreasing,Brazil: -14.23500 -51.92528
Hairy-eared Dwarf Lemur,DD,55233,Ameerega pulchripecta,AMPHIBIA,unknown,Brazil: -14.23500 -51.92528
Caatinga Horned Frog,DD,56339,Ceratophrys joazeirensis,AMPHIBIA,unknown,Brazil: -14.23500 -51.92528
Azara's Agouti,DD,6278,Dasyprocta azarae,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
Western White-eared Giant Rat,DD,136222,Kerodon acrobata,MAMMALIA,unknown,Brazil: -14.23500 -51.92528
"La Plata Otter, Long-tailed Otter, Neotropical Otter, Neotropical River Otter, South American River Otter",DD,12304,Lontra longicaudis,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
Red Brocket,DD,29619,Mazama americana,MAMMALIA,unknown,Brazil: -14.23500 -51.92528
"Brazilian Dwarf Brocket, Pygmy Brocket",DD,29621,Mazama nana,MAMMALIA,unknown,Brazil: -14.23500 -51.92528
Central American Red Brocket,DD,54817,Melanophryniscus cambaraensis,AMPHIBIA,decreasing,Brazil: -14.23500 -51.92528
Forest Horseshoe Bat,DD,135909,Scinax cabralensis,AMPHIBIA,unknown,Brazil: -14.23500 -51.92528
Red-handed Howling Monkey,EN,918,Alouatta ululata,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Red-browed Amazon, Red-browed Parrot, Red-topped Amazon, Red-topped Parrot",EN,106001673,Amazona rhodocorytha,AVES,decreasing,Brazil: -14.23500 -51.92528
"Vinaceous Amazon, Vinaceous-breasted Amazon, Vinaceous-breasted Parrot, Vinaceous Parrot",EN,106001686,Amazona vinacea,AVES,decreasing,Brazil: -14.23500 -51.92528
Hyacinth Macaw,EN,106001543,Anodorhynchus hyacinthinus,AVES,decreasing,Brazil: -14.23500 -51.92528
"Indigo Macaw, Lear's Macaw",EN,106001544,Anodorhynchus leari,AVES,unknown,Brazil: -14.23500 -51.92528
Sun Parakeet,EN,106001572,Aratinga solstitialis,AVES,decreasing,Brazil: -14.23500 -51.92528
"Long-haired Spider Monkey, White-bellied Spider Monkey",EN,2276,Ateles belzebuth,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Black-faced Black Spider Monkey, Chamek Spider Monkey, Peruvian Black Spider Monkey",EN,41547,Ateles chamek,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"White-cheeked Spider Monkey, White-whiskered Spider Monkey",EN,2282,Ateles marginatus,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Muriqui, Southern Muriqui, Woolly Spider Monkey",EN,2993,Brachyteles arachnoides,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Painted Tree-rat, Painted Tree Rat",EN,6985,Callistomys pictus,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Crested Capuchin, Robust Tufted Capuchin",EN,42697,Cebus robustus,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Red-nosed Bearded Saki, Red-nosed Saki, White-nosed Bearded Saki, White-nosed Saki",EN,4685,Chiropotes albinasus,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
Uta Hick's Bearded Saki,EN,43892,Chiropotes utahickae,MAMMALIA,decreasing,Brazil: -14.23500 -51.92528
"Banded Cotinga, Spotted Cotinga",EN,106004508,Cotinga maculata,AVES,decreasing,Brazil: -14.23500 -51.92528
"Mutum, Red-billed Curassow, Red-knobbed Curassow",EN,100600109,Crax blumenbachii,AVES,decreasing,Brazil: -14.23500 -51.92528
Wattled Curassow,EN,100600107,Crax globulosa,AVES,decreasing,Brazil: -14.23500 -51.92528
