Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Banded Cotinga, Spotted Cotinga",EN,106004508,Cotinga maculata,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Mutum, Red-billed Curassow, Red-knobbed Curassow",EN,100600109,Crax blumenbachii,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Wattled Curassow,EN,100600107,Crax globulosa,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Forbes's Blackbird,EN,106009729,Curaeus forbesi,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Northern Royal Albatross,EN,160030005,Diomedea sanfordi,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Golden Conure, Golden Parakeet",EN,106009847,Guaruba guarouba,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Yellow Cardinal,EN,106009078,Gubernatrix cristata,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Crowned Eagle, Crowned Solitary Eagle",EN,106003496,Harpyhaliaetus coronatus,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Dark-mantled Sooty Albatross, Sooty Albatross",EN,106003967,Phoebetria fusca,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Black Fronted Curassow, Black-fronted Piping-guan, Black-fronted Piping Guan, Black-fronted Piping-Guan",EN,100060090,Pipile jacutinga,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Dark-winged Trumpeter,EN,106002805,Psophia viridis,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Atlantic Petrel,EN,106003909,Pterodroma incerta,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Pfrimer's Parakeet,EN,160032205,Pyrrhura pfrimeri,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
Marsh Seedeater,EN,106009550,Sporophila palustris,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Atlantic Yellow-nosed Albatross, Yellow-nosed Albatross",EN,106003965,Thalassarche chlororhynchos,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
White-winged Cotinga,EN,106004512,Xipholena atropurpurea,AVES,decreasing,Brazil,-14.23500,-51.92528,,,,,,,,,,,,,,,,,,
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird",CR,106003847,Fregata andrewsi,AVES,decreasing,Brunei Darussalam,4.53528,114.72767,,,,,,,,,,,,,,,,,,
Storm's Stork,EN,106003833,Ciconia stormi,AVES,decreasing,Brunei Darussalam,4.53528,114.72767,,,,,,,,,,,,,,,,,,
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Brunei Darussalam,4.53528,114.72767,,,,,,,,,,,,,,,,,,
Slender-billed Curlew,CR,106003011,Numenius tenuirostris,AVES,decreasing,Bulgaria,42.73388,25.48583,,,,,,,,,,,,,,,,,,
Red-breasted Goose,EN,100600387,Branta ruficollis,AVES,decreasing,Bulgaria,42.73388,25.48583,,,,,,,,,,,,,,,,,,
"Saker, Saker Falcon",EN,106003619,Falco cherrug,AVES,decreasing,Bulgaria,42.73388,25.48583,,,,,,,,,,,,,,,,,,
Velvet Scoter,EN,139471541,Melanitta fusca,AVES,decreasing,Bulgaria,42.73388,25.48583,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Bulgaria,42.73388,25.48583,,,,,,,,,,,,,,,,,,
White-headed Duck,EN,100600359,Oxyura leucocephala,AVES,decreasing,Bulgaria,42.73388,25.48583,,,,,,,,,,,,,,,,,,
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Burkina Faso,12.23833,-1.56159,,,,,,,,,,,,,,,,,,
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Burkina Faso,12.23833,-1.56159,,,,,,,,,,,,,,,,,,
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Burkina Faso,12.23833,-1.56159,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Burkina Faso,12.23833,-1.56159,,,,,,,,,,,,,,,,,,
"Imperial Heron, White-bellied Heron",CR,106003723,Ardea insignis,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Spoon-billed Sandpiper, Spoonbill Sandpiper",CR,106003060,Eurynorhynchus pygmeus,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Indian Black Vulture, Pondicherry Vulture, Red-headed Vulture",CR,106003383,Sarcogyps calvus,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"White-winged Duck, White-winged Wood Duck",EN,100600410,Cairina scutulata,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Storm's Stork,EN,106003833,Ciconia stormi,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Asian Finfoot, Masked Finfoot",EN,106002801,Heliopais personatus,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Chinese Merganser, Scaly-sided Merganser",EN,100600501,Mergus squamatus,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Green-necked Peafowl, Green Peafowl",EN,100600286,Pavo muticus,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Gurney's Pitta,EN,106004003,Pitta gurneyi,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
Black-bellied Tern,EN,106003284,Sterna acuticauda,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Burma,21.91397,95.95622,,,,,,,,,,,,,,,,,,
"Madagascar Pond-heron, Madagascar Pond-Heron, Madagascar Squacco Heron, Malagasy Pond Heron",EN,106003735,Ardeola idae,AVES,decreasing,Burundi,-3.37306,29.91889,,,,,,,,,,,,,,,,,,
"Grey Crowned-crane, Grey Crowned Crane, Grey Crowned-Crane, Southern Crowned Crane",EN,106002785,Balearica regulorum,AVES,decreasing,Burundi,-3.37306,29.91889,,,,,,,,,,,,,,,,,,
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Burundi,-3.37306,29.91889,,,,,,,,,,,,,,,,,,
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Burundi,-3.37306,29.91889,,,,,,,,,,,,,,,,,,
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Burundi,-3.37306,29.91889,,,,,,,,,,,,,,,,,,
"Andrews' Frigatebird, Christmas Frigatebird, Christmas Island Frigatebird",CR,106003847,Fregata andrewsi,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Asian White-backed Vulture, Oriental White-backed Vulture, White-backed Vulture, White-rumped Vulture",CR,106003374,Gyps bengalensis,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Slender-billed Vulture,CR,160030234,Gyps tenuirostris,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Bengal Bustard, Bengal Florican",CR,106002782,Houbaropsis bengalensis,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Black Ibis, White-shouldered Ibis",CR,106003799,Pseudibis davisoni,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Indian Black Vulture, Pondicherry Vulture, Red-headed Vulture",CR,106003383,Sarcogyps calvus,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Giant Ibis,CR,106003800,Thaumatibis gigantea,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"White-winged Duck, White-winged Wood Duck",EN,100600410,Cairina scutulata,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Asian Finfoot, Masked Finfoot",EN,106002801,Heliopais personatus,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Greater Adjutant,EN,106003842,Leptoptilos dubius,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Green-necked Peafowl, Green Peafowl",EN,100600286,Pavo muticus,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
Black-bellied Tern,EN,106003284,Sterna acuticauda,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Nordmann's Greenshank,  Spotted Greenshank",EN,106003020,Tringa guttifer,AVES,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Cameroon Francolin, Mount Cameroon Francolin",EN,100600185,Francolinus camerunensis,AVES,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
White-backed Vulture,EN,106003373,Gyps africanus,AVES,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
"Rueppell's Griffon, Rueppell's Vulture,  Ruppell's Vulture",EN,106003376,Gyps rueppellii,AVES,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
Hooded Vulture,EN,106003372,Necrosyrtes monachus,AVES,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
Bannerman's Turaco,EN,106002127,Tauraco bannermani,AVES,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
"Egyptian Eagle, Egyptian Vulture",EN,106003371,Neophron percnopterus,AVES,decreasing,Cape Verde,15.12173,-23.60508,,,,,,,,,,,,,,,,,,
