Common Names,Assessment Category,Species ID,Scientific Name,Class,Population Trend,Native,Native Lat,Native Long,Possibly Extinct,Possibly Extinct Lat,Poss Extinct Long,Regionally Extinct,Regionally Extinct Lat,Region Extinct Long,Reintroduced,Reintroduced Lat,Reintroduced Long,Introduced,Introduced Lat,Intro Long,Vagrant,Vagrant Lat,Vagrant Long,Present origin uncertain,Present origin uncertain Lat,Present orig uncertain Long
"Red-shanked Douc, Red-shanked Douc Langur",EN,39826,Pygathrix nemaeus,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Black-shanked Douc, Black-shanked Douc Langur, Black-shanked Douc Monkey",EN,39828,Pygathrix nigripes,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Brow-antlered Deer, Eld's Deer, Thamin",EN,4265,Rucervus eldii,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Indochinese Lutung, Indochinese Silvered Langur",EN,39874,Trachypithecus germaini,MAMMALIA,decreasing,Cambodia,12.56568,104.99096,,,,,,,,,,,,,,,,,,
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
Preuss's Red Colobus,CR,41026,Procolobus preussi,MAMMALIA,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
"Preuss's Guenon, Preuss's Monkey",EN,4227,Cercopithecus preussi,MAMMALIA,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Cameroon,7.36972,12.35472,,,,,,,,,,,,,,,,,,
Sea Otter,EN,7750,Enhydra lutris,MAMMALIA,decreasing,Canada,56.13037,-106.34677,,,,,,,,,,,,,,,,,,
"Lowland Gorilla, Western Gorilla",CR,9404,Gorilla gorilla,MAMMALIA,decreasing,Central African Republic,6.61111,20.93944,,,,,,,,,,,,,,,,,,
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Central African Republic,6.61111,20.93944,,,,,,,,,,,,,,,,,,
"Chimpanzee, Common Chimpanzee, Robust Chimpanzee",EN,15933,Pan troglodytes,MAMMALIA,decreasing,Central African Republic,6.61111,20.93944,,,,,,,,,,,,,,,,,,
Addax,CR,512,Addax nasomaculatus,MAMMALIA,decreasing,Chad,15.45417,18.73221,,,,,,,,,,,,,,,,,,
"Addra Gazelle, Dama Gazelle",CR,8968,Nanger dama,MAMMALIA,decreasing,Chad,15.45417,18.73221,,,,,,,,,,,,,,,,,,
"Rhim, Slender-horned Gazelle",EN,8972,Gazella leptoceros,MAMMALIA,decreasing,Chad,15.45417,18.73221,,,,,,,,,,,,,,,,,,
"African Wild Dog, Cape Hunting Dog, Painted Hunting Dog",EN,12436,Lycaon pictus,MAMMALIA,decreasing,Chad,15.45417,18.73221,,,,,,,,,,,,,,,,,,
Short-tailed Chinchilla,CR,4651,Chinchilla chinchilla,MAMMALIA,decreasing,Chile,-35.67515,-71.54297,,,,,,,,,,,,,,,,,,
"Chinchilla, Long-tailed Chinchilla",CR,4652,Chinchilla lanigera,MAMMALIA,decreasing,Chile,-35.67515,-71.54297,,,,,,,,,,,,,,,,,,
"Chilean Guemal, Chilean Huemul, Patagonian Huemul, South Andean Deer, South Andean Huemul",EN,10054,Hippocamelus bisulcus,MAMMALIA,decreasing,Chile,-35.67515,-71.54297,,,,,,,,,,,,,,,,,,
"Andean Cat, Andean Mountain Cat, Mountain Cat",EN,15452,Leopardus jacobita,MAMMALIA,decreasing,Chile,-35.67515,-71.54297,,,,,,,,,,,,,,,,,,
"Marine Otter, Sea Cat",EN,12303,Lontra felina,MAMMALIA,decreasing,Chile,-35.67515,-71.54297,,,,,,,,,,,,,,,,,,
"Huillin, Southern River Otter",EN,12305,Lontra provocax,MAMMALIA,decreasing,Chile,-35.67515,-71.54297,,,,,,,,,,,,,,,,,,
"Bactrian Camel, Wild Bactrian Camel",CR,63543,Camelus ferus,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Black Crested Gibbon, Black Gibbon, Crested Gibbon, Indochinese Gibbon",CR,39775,Nomascus concolor,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Cao-vit Black Crested Gibbon, Cao-vit Crested Gibbon, Eastern Black Crested Gibbon",CR,41642,Nomascus nasutus,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Cat Ba Langur, Golden-headed Langur, White-headed Langur",CR,22045,Trachypithecus poliocephalus,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Gongshan Muntjac,DD,13926,Muntiacus gongshanensis,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
La Touche's Free-tailed Bat,DD,40036,Tadarida latouchei,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Giant Panda,EN,712,Ailuropoda melanoleuca,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Asiatic Wild Dog, Dhole, Indian Wild Dog, Red Dog",EN,5953,Cuon alpinus,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Asian Elephant, Indian Elephant",EN,7140,Elephas maximus,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
"Asian Wild Ass, Asiatic Wild Ass, Kulan",EN,7951,Equus hemionus,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
Chinese Pangolin,EN,12764,Manis pentadactyla,MAMMALIA,decreasing,China,35.86166,104.19540,,,,,,,,,,,,,,,,,,
